,pairs,binned,story_A,story_B,story_A_summary,story_B_summary,Empathic Similarity (gpt3.5),Empathic Similarity Binned (gpt3.5),Empathic Similarity Reasons (gpt3.5),similarity_empathy_human_AGG,similarity_event_human_AGG,similarity_emotion_human_AGG,similarity_moral_human_AGG
19,"(18, 76)","(0.544, 0.684]",I've never loved college more after changing majors. My friends are always so fun and supportive but academics in my old major always made me want to scream but in my new major everything just feels right and like it all fell in place. <br><br>I have truly found paradise.,"I've really liked Math and Science. So I thought, hey, maybe I should go into engineering. I also liked medicine, so the summer before my senior year of high school, I did a summer program and got to explore different types of engineering. I found Biomedical Engineering and it was the perfect marriage of what I like to do. <br><br>I went on and pursued my PhD, and I'm currently the Director of Research and Development for Sports Medicine. <br><br>The biggest thing to keep in mind is just having an open mind. Be open to everything. It doesn't mean you have to agree with everything, but just see it from that perspective. It'll change the way you think, it'll make you more innovative, it'll make you more creative.","
The author changed their major in college and now loves it more than ever. Their friends are supportive and everything feels like it fell into place. They feel like they've found paradise.","
The author had an interest in Math, Science, and Medicine, and decided to explore engineering during a summer program before their senior year of high school. They discovered Biomedical Engineering, which was the perfect fit for them. They pursued a PhD and are now the Director of Research and Development for Sports Medicine, emphasizing the importance of having an open mind to expand creativity and innovation.",1,0.0, The two stories are not related and do not have any similarities that the narrators could empathize with.,4.0,4.0,4.0,3.5
20,"(19, 68)","(0.368, 0.381]","About a month ago I returned to doing something that I was very passionate about and loved to do. It had been about five years since I had last been a pool. <br><br>Since I was about 8 years old I had been swimming competitively over the summer at my neighborhood pool, from there I swam for my high school team, and then around the same time I began swimming for a club team. Between morning practices before school and then practices after school as well as the occasional swim meets that took place throughout the week my schedule was booked. I would go to my club practices every Saturday meaning essentially I got one day off every week which was Sunday. <br><br>When the season was up for high school swimming I would go on to continue swimming for my club and then during the summer I would do both club and swim for my neighborhood swim team. Swimming was my life. It was all I had known since I was 8 years old and when I was 18 I had to make the painful choice about whether or not I wanted to continue swimming in college. <br><br>I ended up choosing having a social life over swimming to a lot of people's dismay. Towards the end of my high school career I was emotionally and physically drained and I felt like I just needed a break. So I went on to have a normal college life with no swimming involved. It was difficult. The guilt definitely took a toll on my subconscious. I would have dreams all the time about getting back into the pool and I wondered if I had made a mistake. <br><br>I began to avoid pools at all costs and it wasn't until recently that I decided I was ready to get back into the water. A light that seemed to have dimmed inside of me was now brighter than ever and it just felt right and I've been doing it ever since.","Well I just turned 34 last week, and I still don't have a clue what I would do if I didn't snowboard. Snowboarding saved my life. I said whatever it is that I do , I wanna have to train for it. Because I wasn't an academic at all, sports was my main thing. <br><br>Along this whole time, I also had this fascination with surfing, which, being from Vancouver, there was no surfing. Then my best friends came home with two snowboards and I'm like perfect. This is exactly what I wanna do, so that's when I kind of started snowboarding and I got really, really addicted to it. <br><br>And then I sort of started switching over to doing this for a living. It was a big risk, but at the same time, I don't really feel comfortable unless I'm pushing the envelope. My idea is to basically find where your limit is, and then that's your starting point.","The author was a competitive swimmer since the age of 8, but chose to stop in college to have a social life. After avoiding pools for years, the author recently returned to swimming and feels a renewed passion for it. Swimming was a major part of the author's life and the decision to stop caused guilt, but returning to the water feels right.","
The protagonist turned 34 and still didn't know what he would do without snowboarding. He credits snowboarding with saving his life and states that he wants to have to train for whatever he does. He also mentions his fascination with surfing and how he got addicted to snowboarding, eventually switching to doing it for a living.",2,0.0," while both stories involve a passion for a physical activity, the emotions and experiences are different and may not necessarily overlap in a way that would foster empathy between the narrators.",3.5,3.0,3.0,3.0
21,"(2, 54)","(0.394, 0.405]","About 2 months ago, one of our employees had a breakdown due to his family leaving. His family left him due to personal issues that they've been having. I was called because his neighbors thought that he had suicidal ideation due to his wife and kids leaving, and was advised that he had weapons in his house. <br><br>At this time, I was very scared and it took me a moment before I realized what I needed to do. This man needs help immediately and that he can't be alone. So, I called the cops and responded to his home and found out that he wasn't suicidal but was just going through a lot. <br><br>I asked him if he needs someone to be with him or if he wants to stay the night over in my place. He replied saying he just wants to be alone and that everyone deals with problems differently. He rest assured that he isn't going to hurt himself and that he is just looking forward to tomorrow. I took possession of his weapons to err on the side of caution and he didn't have any issue with it. <br><br>The next day, he came and spoke to me and said that he has alcohol substance abuse, hence why his family left him. He self referred himself to the clinic. He then had to go into a rehab facility for 4 weeks. He finished the program 1 week early as he did great and actually came up with his own goals. <br><br>His family came back home and they have been doing really well. He continues to attend Alcohol Anonymous meetings and continues to build his network of friends that he can rely on.","An emotional event happened to me about five months ago. I broke up with my first girlfriend of almost four years. It was a traumatic experience, one that I keep thinking back to and realizing that I have grown a lot since then but that also things will never be the same again. I often catch myself thinking where things went wrong, specifically, why I did what I did. <br><br>While we were long distance for a few months, I went to see an escort. When we met up again, I was quite distraught and eventually couldn't shoulder what I did. I went online to find what others have done in a similar situation and one night, I was driven to confess thinking it would rid my guilty conscience and that if we were to have a successful relationship, it had to start over somehow. I told her what I did and I only remember how disappointed she was. She only cried a little bit and before the week was over, we had broken up. She realized I made immature decisions and hoped that maybe if we met again in New York, we could get back together again. <br><br>On hindsight, maybe she was letting me down easy. For the first month after the break up, I was extremely stressed. I would go to sleep at around 4AM and wake up at around 1PM. I felt like I lost a part of me. We had spent a lot of time together over the four years, almost every living minute. But we both realized we couldn't be together given what had happened. <br><br>So I spent a lot of time trying to bury what happened. I was completely unsure of why I did what I did and the most shocking thing was that how unexpected everything was. Yet, everything came crashing down in the span of a week. I lost a lot of hair in the following few months after this, a condition called telogen effluvium, diagnosed by doctors. <br><br>Still now, I feel like I don't understand my actions and by extension, myself.","An employee had a breakdown due to his family leaving him. His neighbors thought he had suicidal ideation and weapons in his house, so the author called the cops and went to his house. He wasn't suicidal but had alcohol substance abuse, self-referred himself to the clinic, and completed a rehab program a week early.","
The author broke up with his first girlfriend of four years after confessing that he had seen an escort while they were long distance. She was disappointed and they broke up. The author was extremely stressed and lost a lot of hair in the following months, struggling to understand his actions and himself.",1,0.0, The stories are not related in any way.,1.5,1.5,2.0,1.5
22,"(20, 31)","(0.544, 0.684]","A memorable moment was recently when I hosted a birthday party for my boyfriend. We rented out a hall and threw a party there. We recently moved to a different city so we have not seen our friends in a while. On his birthday we invited everybody down and had a good turn out. The theme of the party was more of a Hawaiian theme which everyone seemed to enjoy. There were lots of foods, drinks, music and games. <br><br>Seeing everybody get together to celebrate this moment was special. There were also some unexpected gifts that he received. Our kids were also at this party and they put together a dance for their dads birthday. Our kids are young which makes this even cuter. To see his reaction to the dance was memorable. The smile on faces was such a positive feeling. <br><br>Later on that night we ended up taken everybody back to our house. The hall was only rented out for a few hours and it went better than expected so we continued it at home. Some people spent the night since they could not drive back home. <br><br>Waking up that next morning to a house full of people and laughs about the night before was also very memorable.","I really love making people happy and I love using power tools and stuff. So obviously, I was really happy when my flatmates asked me if I could drill some holes in their wall to fix a wardrobe that would otherwise fall over if the doors are open. They borrowed a drill, got some dowels and screws and I got to screw around with some nice power tools. I feel honored that they trust me to do this. <br><br>After the wardrobe was fixed to the wall I went back to my little crafting table. All christmas gifts this year will be handmade by me. I'm making a gift for a friend, and I spent some time on cutting, sanding, gluing and painting this little thing and today I pre drew the outlines of the last bit I need to paint on both sides and finished painting one side. <br><br>I can't wait for his reaction when I give it to him!","
The author hosted a Hawaiian themed birthday party for their boyfriend in a rented hall. Friends who hadn't been seen since moving to a new city attended and there were unexpected gifts and a dance performed by the couple's young children. The party continued at their house, with some guests spending the night and the next morning filled with laughter and memories.","
The author enjoys making people happy and using power tools. They were asked by their flatmates to fix a wardrobe by drilling holes in the wall, which they enjoyed. The author is currently making handmade Christmas gifts and is excited to see their friend's reaction to their gift.",1,0.0, the two stories have completely different themes and do not share any common experiences or emotions.,2.0,1.5,2.5,2.0
23,"(20, 38)","(0.544, 0.684]","A memorable moment was recently when I hosted a birthday party for my boyfriend. We rented out a hall and threw a party there. We recently moved to a different city so we have not seen our friends in a while. On his birthday we invited everybody down and had a good turn out. The theme of the party was more of a Hawaiian theme which everyone seemed to enjoy. There were lots of foods, drinks, music and games. <br><br>Seeing everybody get together to celebrate this moment was special. There were also some unexpected gifts that he received. Our kids were also at this party and they put together a dance for their dads birthday. Our kids are young which makes this even cuter. To see his reaction to the dance was memorable. The smile on faces was such a positive feeling. <br><br>Later on that night we ended up taken everybody back to our house. The hall was only rented out for a few hours and it went better than expected so we continued it at home. Some people spent the night since they could not drive back home. <br><br>Waking up that next morning to a house full of people and laughs about the night before was also very memorable.","I find myself thinking about romantic moments I will never find again. It always ends as soon as it starts. I am searching for something that can't be found. The momentary intimacies. <br><br>I want to hold these memories in a breath, allow them to fill me with buzzing butterflies, then let them all out. Situations may be unsatisfying, but there are always more situations to come. <br><br>Who knows what the future will hold?","
The author hosted a Hawaiian themed birthday party for their boyfriend in a rented hall. Friends who hadn't been seen since moving to a new city attended and there were unexpected gifts and a dance performed by the couple's young children. The party continued at their house, with some guests spending the night and the next morning filled with laughter and memories.","
The author reminisces about romantic moments that they will never experience again. They believe that these moments are temporary and cannot be found again. Despite this, they choose to cherish these memories and remain hopeful for future possibilities.",1,0.0," The stories are not related, and there are no common emotions or experiences between them that would allow the narrators to empathize with each other.",3.0,3.0,2.5,2.5
24,"(20, 53)","(0.544, 0.684]","A memorable moment was recently when I hosted a birthday party for my boyfriend. We rented out a hall and threw a party there. We recently moved to a different city so we have not seen our friends in a while. On his birthday we invited everybody down and had a good turn out. The theme of the party was more of a Hawaiian theme which everyone seemed to enjoy. There were lots of foods, drinks, music and games. <br><br>Seeing everybody get together to celebrate this moment was special. There were also some unexpected gifts that he received. Our kids were also at this party and they put together a dance for their dads birthday. Our kids are young which makes this even cuter. To see his reaction to the dance was memorable. The smile on faces was such a positive feeling. <br><br>Later on that night we ended up taken everybody back to our house. The hall was only rented out for a few hours and it went better than expected so we continued it at home. Some people spent the night since they could not drive back home. <br><br>Waking up that next morning to a house full of people and laughs about the night before was also very memorable.","Today my family gathered in a small town. It has been years since we have all been in the same place at the same time. Usually seeing long lost relatives is a joyous occasion for most families. We aren't most families. Usually, we don't all get along. <br><br>Today wasn't usual. Today we gathered to pay our respect to one of the most complicated men most of us have ever known. Today, we all supported each other and consoled one another in the name of my Dad. <br><br>My dad passed away a week ago and today was his memorial. This has been a difficult week. Trying to grasp the fact that he is gone has been tough, but today was the worst. We had an open casket. He looked so strange, it was him and yet not him <br><br>I watched as some of my family broke down into tears, some quietly. Others held it in. I felt I had to be strong for my own little family. My children will never again get to see their grandpa. I will never again get to see my dad, yet as a dad, I couldn't let me kids watch me break down completely. <br><br>After today, all that will be left him is his belongings and his ashes.","
The author hosted a Hawaiian themed birthday party for their boyfriend in a rented hall. Friends who hadn't been seen since moving to a new city attended and there were unexpected gifts and a dance performed by the couple's young children. The party continued at their house, with some guests spending the night and the next morning filled with laughter and memories.","
The author's family gathered in a small town to pay respects to their father who passed away a week ago. Despite not always getting along, they came together to console one another during this difficult time. The author watched as family members grieved and felt the need to stay strong for their own children, knowing that all that will be left of their father is his belongings and ashes.",1,0.0, the two stories are about completely different events and emotions.,2.5,1.5,1.5,2.5
25,"(20, 61)","(0.501, 0.544]","A memorable moment was recently when I hosted a birthday party for my boyfriend. We rented out a hall and threw a party there. We recently moved to a different city so we have not seen our friends in a while. On his birthday we invited everybody down and had a good turn out. The theme of the party was more of a Hawaiian theme which everyone seemed to enjoy. There were lots of foods, drinks, music and games. <br><br>Seeing everybody get together to celebrate this moment was special. There were also some unexpected gifts that he received. Our kids were also at this party and they put together a dance for their dads birthday. Our kids are young which makes this even cuter. To see his reaction to the dance was memorable. The smile on faces was such a positive feeling. <br><br>Later on that night we ended up taken everybody back to our house. The hall was only rented out for a few hours and it went better than expected so we continued it at home. Some people spent the night since they could not drive back home. <br><br>Waking up that next morning to a house full of people and laughs about the night before was also very memorable.","In 10th grade I took a cooking course and for a big project we had to cook an appetizer, a meal, and a dessert at home and serve it to our family and take pictures of the food. I made garlic bread, spaghetti, and red velvet cake. I had never made cake before but I wanted to try and I thought I might as well. <br><br>I took a huge piece to school the next day. I told my teacher I made a cake for the dessert portion and offered her to try it, she said ""well I'm not gonna turn down free cake"" so I went to my locker to grab it. She tried it and said it was pretty good but it was a little too soft, which it was just because I had one of those weird funnel cake pans instead of flat ones. <br><br>I think she ended up giving me an extra 5% on my final grade for giving her some cake. I've had a lot of bad experiences with teachers but I still think about that once in a while. <br><br>I made the same recipe yesterday and did 3 layers with homemade cream cheese frosting, I think it's the best one I've made yet.","
The author hosted a Hawaiian themed birthday party for their boyfriend in a rented hall. Friends who hadn't been seen since moving to a new city attended and there were unexpected gifts and a dance performed by the couple's young children. The party continued at their house, with some guests spending the night and the next morning filled with laughter and memories.","
The writer made garlic bread, spaghetti, and red velvet cake for a cooking project in 10th grade. They had never made cake before but decided to try it. The teacher tried the cake and gave the writer an extra 5% on their final grade, and the writer recently made the cake again with homemade cream cheese frosting.",1,0.0, there is no common emotional experience shared between the two stories.,1.5,1.0,2.0,1.0
26,"(20, 62)","(0.501, 0.544]","A memorable moment was recently when I hosted a birthday party for my boyfriend. We rented out a hall and threw a party there. We recently moved to a different city so we have not seen our friends in a while. On his birthday we invited everybody down and had a good turn out. The theme of the party was more of a Hawaiian theme which everyone seemed to enjoy. There were lots of foods, drinks, music and games. <br><br>Seeing everybody get together to celebrate this moment was special. There were also some unexpected gifts that he received. Our kids were also at this party and they put together a dance for their dads birthday. Our kids are young which makes this even cuter. To see his reaction to the dance was memorable. The smile on faces was such a positive feeling. <br><br>Later on that night we ended up taken everybody back to our house. The hall was only rented out for a few hours and it went better than expected so we continued it at home. Some people spent the night since they could not drive back home. <br><br>Waking up that next morning to a house full of people and laughs about the night before was also very memorable.","I love Grieg's Piano Concerto, but there's one particular recording that I first came to know the piece by. My high school friend gave it to me on CD format back in the late 90s, and then life took us in different directions and we never saw each other again. But I would play that piece in the car when I had to drive a long way. The CD accompanied me across three continents and through three academic higher degrees. <br><br>Sadly, I lost it in a move and I'd never been able to find it again through the decades. There were many different performances, but none had the precise rhythm and phrasing and interpretation and feeling of the one I grew up with. <br><br>Finally, I was driving down the highway a few days back and I heard the exact performance being played on the local classical station. I pulled over to the shoulder safely and got my phone out, so I could look up the station's playlist. I finally found the performer, orchestra, and year.","
The author hosted a Hawaiian themed birthday party for their boyfriend in a rented hall. Friends who hadn't been seen since moving to a new city attended and there were unexpected gifts and a dance performed by the couple's young children. The party continued at their house, with some guests spending the night and the next morning filled with laughter and memories.","
The author had a special recording of Grieg's Piano Concerto given to them by a high school friend, which they played frequently while driving on long trips. They lost the CD during a move and were unable to find the same recording again despite searching for decades. While driving recently, they heard the exact performance being played on a classical radio station and were able to identify the performer, orchestra, and year.",1,0.0, The two stories are very unrelated and do not share any common emotions or experiences.,2.0,1.0,2.5,1.0
27,"(21, 58)","(0.544, 0.684]","A few months ago at the Styx concert, He surprised me and proposed. After 13 years of being together, I actually never thought it would happen. <br><br>The song ""Lady"" started and he gave his phone to a person we didn't know behind us. I thought that was really strange but it didn't dawn on me that there could be any other reason but that he wanted someone to take our picture together. That annoyed me because I don't like getting my picture taken. <br><br>The next think I new, he was talking in my ear so I could hear him over the loud music and then he got down on one knee. Next he held out a ring he pulled from his pocket. I started crying and said, ""yes, definitely yes!"". I was in total shock. <br><br>Even though I don't like to have my picture taken, I'm so glad he had someone videotape the proposal. It's really funny to see the shocked look on my face. <br><br>After the proposal, he told me that he first got permission from my girls and my dad as well. I thought that was a very noble gesture and something that he didn't have to do. <br><br>Now we have a wedding to plan. I feel so blessed to marry the love of my life who is also my best friend. I wonder how I ever got so lucky.","My aunt called me a few weeks ago and wanted me to go with her on a road trip. It was kind of unexpected, but I haven't seen her much in the last few years so I was excited. We were headed to a wedding about 6 hours away. I didn't really know the guy getting married, but I had met his mom a few times. <br><br>On the way to the wedding, we stopped to visit several relatives. Again, people I hadn't seen in years. It was so fun to catch up with all my cousins! We had a blast at the wedding, or rather, the wedding reception and dance! Now that was a good time. Everyone was out on the dance floor and most of them were very good dancers. My aunt and I didn't participate in that, but it sure was fun watching everybody out there. The food was good too! <br><br>After the dance, we headed back to another friend's house to spend the night. I had met him a few times before, and we spent a couple of enjoyable days with him. We spent a few more days visiting with more friends and relatives before we headed back. <br><br>I absolutely had a blast. We talked all the way there and back which was about a 12 hour round trip. This is my favorite aunt of all time, and I'm so glad she asked me to go with her. She is over 70 now, and doesn't get around as well as she used to, so I soaked in every moment of our time together. <br><br>I only wish it could've lasted longer, but unfortunately, I had to get back to work. I hope we get the opportunity to do another road trip together!","
After 13 years, the narrator was surprised with a proposal at a Styx concert. The proposer gave his phone to a stranger behind them, which annoyed the narrator, but then he got down on one knee during the song ""Lady"" and proposed with a ring. The proposer had previously asked for permission from the narrator's daughters and father, and now they are planning their wedding.",The narrator's aunt invited them on a road trip to a wedding six hours away. They stopped to visit relatives and had a great time catching up with everyone. The narrator had a blast spending time with their aunt and hopes to go on another road trip with her in the future.,1,0.0, there is no empathetic similarity between the two stories as they are completely unrelated to each other.,2.5,1.5,2.0,1.5
28,"(22, 61)","(0.476, 0.501]","Growing up poor never had it in our household. Besides seeing it in everyone else's house I never really thought much about it. Only thing is that I thought that I was missing out on those popcorn bags. <br><br>Well, yesterday I was shopping for groceries with my mum and we went to check the house appliances section. With no intention to buy anything, purely just to check it out. And when I saw microwaves it hit me for the first time that we never had this very common thing in our house. Don't know why but I bought it. <br><br>Today after work I will be getting some of those popcorn bags for the microwave to try it out. I know it's stupid but it's very new to me. I know you can use it to reheat food of course, but we already used a regular oven for that. <br><br>And this microwave can't hold enough food for all of us. So now I am thinking this thing will just sit there and never get used.","In 10th grade I took a cooking course and for a big project we had to cook an appetizer, a meal, and a dessert at home and serve it to our family and take pictures of the food. I made garlic bread, spaghetti, and red velvet cake. I had never made cake before but I wanted to try and I thought I might as well. <br><br>I took a huge piece to school the next day. I told my teacher I made a cake for the dessert portion and offered her to try it, she said ""well I'm not gonna turn down free cake"" so I went to my locker to grab it. She tried it and said it was pretty good but it was a little too soft, which it was just because I had one of those weird funnel cake pans instead of flat ones. <br><br>I think she ended up giving me an extra 5% on my final grade for giving her some cake. I've had a lot of bad experiences with teachers but I still think about that once in a while. <br><br>I made the same recipe yesterday and did 3 layers with homemade cream cheese frosting, I think it's the best one I've made yet.","
The narrator realizes for the first time that their family never had a microwave and decides to buy one. They plan to use it to make popcorn, but are unsure of its usefulness for reheating food since they already have a regular oven. They worry that it may end up unused because it cannot hold enough food for their whole family.","
The writer made garlic bread, spaghetti, and red velvet cake for a cooking project in 10th grade. They had never made cake before but decided to try it. The teacher tried the cake and gave the writer an extra 5% on their final grade, and the writer recently made the cake again with homemade cream cheese frosting.",1,0.0," the two stories are not related in any way, and their narratives do not overlap.",2.5,1.0,2.0,1.0
29,"(23, 46)","(0.476, 0.501]","I've had a long-time crush on a girl from my school. We had talked and become really good friends for a long time before we told each other our feelings two Wednesdays ago. <br><br>We got together yesterday to have our first date, knowing we will probably end up as a couple soon. It went great! <br><br>We held hands and cuddled while we watched a movie, and it went so much better than I could have imagined.","I recently reconnected with a former love of mine. We had a falling out a very long time ago, and recently ran into each other at the neighborhood Raley's. She just moved back into the city a few months ago. It was very surprising to me that I ran into her. <br><br>She has really beautiful blue eyes, but my favorite part about her is her personality. I'm usually not too great with jokes, but she tends to laugh at most of my dumb ones. We have both changed very much, but it was for the better. <br><br>Now that we have reconnected I'm feeling better then ever. We went out to the movies last week, and got some dinner after. The resturaunt we went to was right down the street at Tahoe Joe's. I got whiskey peppercorn chicken, and she got a fancy salad of some kind. <br><br>We went back to my place and started watching amazon's new show the boys. We really enjoyed it (or at least I think she did). It was very memorable, and I hope to have more memories like this in the future. <br><br>So far, it's going great, and I hope it can only get better!","
A person had a crush on a girl from their school for a long time. They both confessed their feelings for each other two Wednesdays ago and went on their first date yesterday. The date went well, and they held hands and cuddled while watching a movie.","The author reconnected with a former love and was surprised to run into her at a grocery store. They have both changed for the better and went out for dinner and a movie. They watched a new show at the author's place and had a memorable time, hoping for more in the future.",3,1.0," Both narrators experienced positive romantic developments, but the contexts are different. While they may not be able to empathize with the specifics of each other's stories, they can relate to the feelings of excitement and hopefulness in a new or rekindled romantic relationship.",3.0,2.5,3.0,2.5
30,"(24, 44)","(0.501, 0.544]","I don't ever talk about this, and have lied about it for years, because it's so embarrassing, but I've never got my driver's license. Mainly from anxiety, but then as the years have passed, it becomes even more insane that I don't, so I just don't. <br><br>I'm a fully functioning adult with a job, bills, and an apartment. I've crafted this fake narrative for years, explaining why I don't have a car and never drive. I live in a small town too, so it's not exactly been easy. <br><br>I'm glad to finally be a normal adult though. I got over my mental barrier, so I can start really improving my life. Anxiety and depression don't rule me, I got this.","When you have something called a learning disability, even that language is not the right language. Everything that transcends from it is like, anything I get is a mistake, every accomplishment that I achieve, I didn't achieve them because I have this disability thing. <br><br>As someone with a learning disability, I wanted to be done with that so when I got into college, I actually thought somehow wrapped into that acceptance, was a cure. I'm good, I never need to talk about that again, it's not who I am. <br><br>And when I got to Brown, thankfully, I quickly forgot that idea. I realized I didn't want to be alone, that's a very lonely way to feel. I started taking education classes and I learned that one in five people learn and think like I do. Where are they? Like, I don't see them. <br><br>I realized the only way I can find them is that I had to start leading with my story. There are two possibilities in the future for our people. One is that we don't tell our story, and then we live in this place of shame and we're misunderstood and much of our potential is lost. <br><br>The second possibility is the one I'm really excited about. It's that idea that by sharing our stories and associating our other gifts and talents with that part of how our brains work, we could unlock something that's amazing for all of us.","
The author has been lying for years about not having a driver's license due to anxiety. They have crafted a fake narrative to explain why they don't have a car or drive. However, they have overcome their mental barrier and are now ready to start improving their life.","As someone with a learning disability, the language used to describe it made them feel like anything they achieved was a mistake. They initially thought college would cure them but soon realized they didn't want to be alone and started taking education classes, discovering that one in five people learn and think like they do. They decided to start leading with their story to find others like them and unlock something amazing by sharing their gifts and talents associated with their unique way of thinking.",2,0.0," While both stories involve overcoming personal barriers, the nature of those barriers and the emotions associated with them are too different to have strong empathy between the narrators.",2.0,1.5,1.5,2.0
31,"(24, 68)","(0.501, 0.544]","I don't ever talk about this, and have lied about it for years, because it's so embarrassing, but I've never got my driver's license. Mainly from anxiety, but then as the years have passed, it becomes even more insane that I don't, so I just don't. <br><br>I'm a fully functioning adult with a job, bills, and an apartment. I've crafted this fake narrative for years, explaining why I don't have a car and never drive. I live in a small town too, so it's not exactly been easy. <br><br>I'm glad to finally be a normal adult though. I got over my mental barrier, so I can start really improving my life. Anxiety and depression don't rule me, I got this.","Well I just turned 34 last week, and I still don't have a clue what I would do if I didn't snowboard. Snowboarding saved my life. I said whatever it is that I do , I wanna have to train for it. Because I wasn't an academic at all, sports was my main thing. <br><br>Along this whole time, I also had this fascination with surfing, which, being from Vancouver, there was no surfing. Then my best friends came home with two snowboards and I'm like perfect. This is exactly what I wanna do, so that's when I kind of started snowboarding and I got really, really addicted to it. <br><br>And then I sort of started switching over to doing this for a living. It was a big risk, but at the same time, I don't really feel comfortable unless I'm pushing the envelope. My idea is to basically find where your limit is, and then that's your starting point.","
The author has been lying for years about not having a driver's license due to anxiety. They have crafted a fake narrative to explain why they don't have a car or drive. However, they have overcome their mental barrier and are now ready to start improving their life.","
The protagonist turned 34 and still didn't know what he would do without snowboarding. He credits snowboarding with saving his life and states that he wants to have to train for whatever he does. He also mentions his fascination with surfing and how he got addicted to snowboarding, eventually switching to doing it for a living.",1,0.0, The two stories are not related in terms of theme or emotions experienced.,1.0,1.0,1.5,1.5
32,"(27, 35)","(0.501, 0.544]","October 2nd was my 20th birthday, and for the first time in years I'd planned to actually throw a party. Unfortunately, I got bronchitis and had to cancel. I was devastated, but figured I'd get over it. <br><br>Still, I complained about it on a Discord Server with some good friends of mine, and to my surprise and joy, a good 6 people told me they'd call and drink and hang out with me for my birthday! I was so excited. <br><br>Imagine my reaction when only 2 people joined. We had fun for a while, but it's not much fun drinking with only two people online. <br><br>I stayed on for 5 hours past the time we agreed to call on, but no dice. Usually we draw each other birthday presents (we're all hobby artists), but I didn't get any drawings from them this year either. <br><br>I wouldn't mind that in of itself, but combined with the previous point, it scares me. Are they growing tired of me? Did I mess something up? I'm just not sure anymore. It's so scary. I didn't want my birthday to go this way.","I always knew as a young person that I want to make a difference. So even though my day job was marketing, I really saw my greater purpose to be driving business. So leading marketing or whatever it is that I've done throughout my career. I'm actually privileged right now to do what is really my passion. And that's really to lead change and changing some of the systems that have created some of the problems that we're unfortunately trying to resolve. <br><br>In second grade, there was a teacher who had me come up and kept asking me to read, and I was reading all the stuff. And she was that teacher who said, wow this child here is special. And from there on I get placed in gifted classes and all this stuff, but my friends in my neighborhood were not in my classes. <br><br>And when you get to high school, this gap continues. And so by the time we graduated, it wasn't until then, that I was the only student of color with the sash on for honors. The people were saying, you're smart? I was embarrassed to tell that story. <br><br>Now in hindsight, I'm like, maybe I should have been telling my friends , maybe I should have been sharing the experiences. I could have played as a peer mentor to make sure more of my friends were having the same experience I had. <br><br>And maybe I missed out when I was younger, but what I can do as I get older is to really address some of the inequities that do occur in education in particular.","The author planned a 20th birthday party but had to cancel due to bronchitis. Some friends on Discord promised to call and hang out with them, but only two people showed up. The author is now worried that their friends are growing tired of them and didn't receive any birthday presents from their hobby artist friends.","
The speaker always knew they wanted to make a difference and saw their purpose as driving business. They experienced a gap in education and were the only student of color with honors. In hindsight, they realized they could have played a peer mentor role to ensure more friends had the same experience and now want to address inequities in education.",1,0.0," the two stories have completely different topics and emotions, making it difficult for the narrators to empathize with each other.",2.0,2.0,2.5,2.5
33,"(27, 47)","(0.544, 0.684]","October 2nd was my 20th birthday, and for the first time in years I'd planned to actually throw a party. Unfortunately, I got bronchitis and had to cancel. I was devastated, but figured I'd get over it. <br><br>Still, I complained about it on a Discord Server with some good friends of mine, and to my surprise and joy, a good 6 people told me they'd call and drink and hang out with me for my birthday! I was so excited. <br><br>Imagine my reaction when only 2 people joined. We had fun for a while, but it's not much fun drinking with only two people online. <br><br>I stayed on for 5 hours past the time we agreed to call on, but no dice. Usually we draw each other birthday presents (we're all hobby artists), but I didn't get any drawings from them this year either. <br><br>I wouldn't mind that in of itself, but combined with the previous point, it scares me. Are they growing tired of me? Did I mess something up? I'm just not sure anymore. It's so scary. I didn't want my birthday to go this way.","What a day , August 8, 2019, It was my 45 birthday and I thought it was going to be just like any other birthday I have had. But this day my family and friends decided to throw me a surprise party. I was in total shock, never expected s surprise party. <br><br>It started off like a typical day waking and getting ready for work. I had plans to have dinner with my significant other that night. After work came home and got ready for dinner. <br><br>When we got to the restaurant he provided them his name and they said that they had a special table for us in the back. The back room was usually only used for special occasions. When we walked in through the hallway to the back room it was full of my friends and family. <br><br>We had a nice dinner and there was a DJ playing music, so we enjoyed a little dancing. I have such wonderful family and friends and getting to enjoy my 45 birthday with them was fantastic. I can't imagine having a nicer birthday. We enjoyed good food , good music and wonderful company. <br><br>After hours of enjoying ourselves it was time to leave. I hated that the night had to end.","The author planned a 20th birthday party but had to cancel due to bronchitis. Some friends on Discord promised to call and hang out with them, but only two people showed up. The author is now worried that their friends are growing tired of them and didn't receive any birthday presents from their hobby artist friends.","
The author thought their 45th birthday would be like any other, but their family and friends surprised them with a party at a restaurant. They had a nice dinner, danced to music from a DJ, and enjoyed the company of loved ones. The night eventually came to an end, but the author was grateful for such a wonderful birthday celebration.",1,0.0, the two stories have completely different topics and emotions.,1.5,2.0,2.0,1.5
